WKT,id_techo,tipo_edifi,tipo_techo,edificio,direccion,tipo_siste,capacidad,caracteris,proveedor,fecha_inst,link,foto,calle,altura,calle2,direccion_,barrio,comuna,energia_an_kwh,mitig_an_tCO2eq,energia_acum_kwh,mitig_acum_tCO2eq
POINT (-58.3951547975415 -34.5722170464439),66,Público,Solar Fotovoltaico,Autopistas Urbanas S.A.,Av. Ramón Castillo 3000,On-Grid,83430 Wp,309 paneles de 270 wp cada uno.,LV-Energy S.A.,2018,,,Avenida Presidente Ramón Castillo,3000,,,,,129317,58.19,387951,174.58
POINT (-58.3992715126353 -34.569906104972),67,Público,Solar Fotovoltaico,Autopistas Urbanas S.A.,Av. Costanera Rafael Obligado 1431 ,On-Grid,16200 Wp,60 paneles de 270 Wp c/u,LV-Energy S.A.,2017,,,Av. Costanera Rafael Obligado  ,1431,,"OBLIGADO RAFAEL, AV.COSTANERA 1431",Recoleta,Comuna 2,25110,11.30,100440,45.20
POINT (-58.3851999347803 -34.5812048604305),68,Público,Solar Térmico,Residencial - Containera (Emplaque),Padre Mujica - Villa 31,,6000 lts,40 Familias - 66 Colectores Placa Plana - Sistema Split - 20 Tanques (300 lts) ,Sustentator,2017,,repok/static/techosinteligentes/techos_amarillos_68.png,,,,,,,5472,2.46,21888,9.85
POINT (-58.3950947350199 -34.572370259165),69,Público,Solar Térmico,Autopistas Urbanas S.A.,Av. Ramón Castillo 3000,,900 lts,3 HeatPipe de 300 lts cada uno,Greengham,2015,,repok/static/techosinteligentes/techos_amarillos_69.jpg,Av. Ramón Castillo ,3000,,,,,5360,2.83,32160,16.98
POINT (-58.4420327070133 -34.6799694831029),65,Público,Solar Fotovoltaico,Centro de atención al visitante,Parque lugano,Off-Grid,1680 Wp,14 paneles de 120 Watts cada uno. 8 Batería de 250 Ah. ,,2015,,,,,,,,,2604,1.17,15624,7.03
POINT (-58.3683256024497 -34.5978166617338),71,Privado,Solar Fotovoltaico,Buquebus,Av. Antartida Argentina 821,On-Grid,399000 Wp,Instalación: 13/04/2018;  Cantidad Paneles Policristalinos : 1287; Potencia Individual: 310 Wp ; Potencia total del sistema: 399 kWp; Inversores: Huawei,Energy Mercosur,2018,,repok/static/techosinteligentes/techos_amarillos_71.jpg,Av. Antártida Argentina,821,,ANTARTIDA ARGENTINA AV. 821,Retiro,Comuna 1,618948,278.53,1856844,835.58
POINT (-58.3688164871545 -34.6152498775442),72,Público,Solar Fotovoltaico,Escuela técnica n°1 Otto Krause,Av. Paseo Colón 650,On-Grid,21600 Wp,72 paneles fotovoltaicos de capa fina de 300 Wp,ALDAR S.A.,2019,,repok/static/techosinteligentes/techo_amarillo_72.jpg,av paseo colon,650,,PASEO COLON AV. 650,Monserrat,Comuna 1,33480,15.07,66960,30.13
POINT (-58.4584905716712 -34.5616649880922),74,Privado,Solar Fotovoltaico,Particular,-,On-Grid,3840 Wp,Potencia de acople: 3840 Wp,-,2019,,,Mendoza,,Ciudad de la Paz,"MENDOZA y CIUDAD DE LA PAZ, CABA",BELGRANO,Comuna 13,5952,2.68,11904,5.36
POINT (-58.3852132315227 -34.5812611429639),75,Público,Solar Fotovoltaico,Residencial - Containera (Tira),Padre Mujica - Barrio 31,On-Grid,69760 Wp,80 Familias - 218 paneles (320 Wp) policristalinos Amerisolar + 10 Inversores 7kWp SMA STP-7000TL-20 (Potencia Acople: 70 kW),Sustentator,2018,,repok/upload/techosinteligentes/techoamarillo/ST_-_Containera_Tira.png,,,,,,,108128,48.66,324384,145.97
POINT (-58.3851918091274 -34.5812793706431),76,Público,Solar Térmico,Residencial - Containera (Tira),Bricons - Barrio 31,,12000 lts,80 Familias - 80 Colectores Placa Plana Sunrein - Sistema Split - 40 Tanques (300 lts),Sustentator,2018,,repok/upload/techosinteligentes/techoamarillo/ST_-_Containera_Tira_1.png,,,,,,,81203,37.75,243609,113.25
POINT (-58.3845805948688 -34.5814956324824),77,Público,Solar Fotovoltaico,Residencial - Containera (Tira),Bricons - Barrio 31,Off-Grid,-,Paneles 60 Wp CPE060 - Baterías Narada 7 OPzV500,Sustentator,2018,,repok/upload/techosinteligentes/techoamarillo/ST_-_Containera_Tira_2.png,,,,,,,0,0.00,0,0.00
POINT (-58.381747586858 -34.580827464029),78,Público,Solar Fotovoltaico,Residencial - Barrio YPF,Barrio 31 - Barrio YPF,On-Grid,1124640 Wp,1020 Familias - 3408 paneles (330 Wp) Risen Policristalinos + 116 Inversores Goodwe (DT Serie),Sustentator,2019,https://www.buenosaires.gob.ar/jefaturadegabinete/secretaria-de-integracion-social-y-urbana/viviendas-nuevas-en-ypf,repok/upload/techosinteligentes/techoamarillo/Barrio_31_-_YPF.jpg,,,,,,,1743192,784.44,3486384,1568.87
POINT (-58.3822052227028 -34.5808360338032),79,Público,Solar Térmico,Residencial - Barrio YPF,Barrio 31 - Barrio YPF,,154500 lts,1020 Familias - 515 Termotanques Soles - Placa Plana (300 lts) - Yinjji 1030 placas.,Sustentator,2019,https://www.buenosaires.gob.ar/jefaturadegabinete/secretaria-de-integracion-social-y-urbana/viviendas-nuevas-en-ypf,repok/upload/techosinteligentes/techoamarillo/Barrio_31_-_YPF_1.jpg,,,,,,,853600,369.92,1707200,739.84
POINT (-58.3743587911704 -34.5913828241665),80,Público,Solar Fotovoltaico,Estación Metrobus,Av. Dr. José María Ramos Mejía 1430,On-Grid,132000 Wp,400 Paneles (330 Wp) - Potencia de Acople: 132 kWp,-,2020,https://www.buenosaires.gob.ar/ambiente-y-espacio-publico/noticias/buenos-aires-sustentable-se-instalaron-paneles-solares-en-el,repok/upload/techosinteligentes/techoamarillo/Retiro.png,,,,,,,204600,92.07,204600,92.07
POINT (-58.4105474008303 -34.5838363639113),81,Público,Solar Fotovoltaico,Escuela N°26,Jerónimo Salguero 2455,On-Grid,18000 Wp,"60 Paneles Fotovoltaicos de Capa Fina (Flexibles -CIGS) (300 Wp) Global Solar Energy; Modelo: FG-1BTM-300 + 1 Inversor Schneider Conext CL 20000. Integracion Arquitectónica del edificio; En piso: Orientacion: 20° Este. Inclinacion: 30°.;""Sobre baranda de cierre perimetral: Orientacion: 20° Este. Inclinacion: 90°",ALDAR S.A,2019,,,Jerónimo Salguero,2455,,SALGUERO  JERONIMO 2455,PALERMO,Comuna 14,27922,12.56,55844,25.13
POINT (-58.5140503226047 -34.6005404249273),82,Público,Solar Fotovoltaico,Escuela N°15 Antonio Devoto,Av. Salvador María del Carril 4180,On-Grid,40000 Wp,114 Paneles - Potencia de Acople : 40 kWp,EXO S.A.,2019,https://www.buenosaires.gob.ar/laciudad/noticias/la-ciudad-tiene-la-primera-escuela-del-pais-que-vuelca-energia-la-red-electrica,repok/upload/techosinteligentes/techoamarillo/Escuela_15_Devoto.jpeg,Av. Salvador María del Carril,4180,,"CARRIL, SALVADOR MARIA DEL AV. 4180",Villa Devoto,Comuna 11,62000,27.90,124000,55.80
POINT (-58.4632610240453 -34.5487492309857),83,Público,Solar Fotovoltaico,"Escuela Integral Interdiciplinaria N°10 D.E. 10 ""Alferez de Navio J. Sobral""",O'Higgins 3401,On-Grid,5100 Wp,"Potencia de Acople: 4,2 kWp",-,2020,,,O'Higgins,3401,,O'HIGGINS 3401,Nuñez,Comuna 13,7905,3.56,7905,3.56
POINT (-58.5124843679842 -34.6006136486725),85,Público,Solar Fotovoltaico,"Escuela Media N°3 D.E. 17 ""EMEM 03 Antonio Devoto""",Mercedes 4002,On-Grid,32000 Wp,"Potencia de Acopole : 37,5 kWp",,2019,,repok/upload/techosinteligentes/techoamarillo/Escuela_Media_Antonio_devoto.jpg,Mercedes,4002,,MERCEDES 4002,Villa Devoto,Comuna 11,49600,22.32,99200,44.64
POINT (-58.470215235203 -34.5544493252613),86,Público,Solar Fotovoltaico,"Escuela Primaria Común N°12 D.E. 10 ""Profesor Rodolfo Senet""",Av. Cramer 3271					,On-Grid,40000 Wp,Potencia de Acople: 40 kWp,,2020,,,Av. Cramer,3271,,CRAMER AV. 3271,Nuñez,Comuna 13,62000,27.90,62000,27.90
POINT (-58.4415179062574 -34.5664969052772),87,Privado,Solar Fotovoltaico,"Establecimiento Educativo ""Washington School""",Av. Federico Lacroze 2012,On-Grid,4900 Wp,Paneles Amerisolar 350 Wp Monocristalinos | Inversor ABB 5 kW | Bases autoportantes Smartflex,On-Networking,2019,,,Av. Federico Lacroze,,Villanueva,"LACROZE, FEDERICO AV. y VILLANUEVA, CABA",PALERMO,Comuna 14,7595,3.42,15190,6.84
POINT (-58.4292541874362 -34.6151047868189),87,Privado,Solar Fotovoltaico,Particular,-,On-Grid,6000 Wp,-,-,2020,,,Avenida Rivadavia,,Avenida La Plata,"RIVADAVIA AV. y LA PLATA AV., CABA",ALMAGRO,Comuna 5,9300,4.19,9300,4.19
POINT (-58.4026353919456 -34.5782220369392),87,Privado,Solar Fotovoltaico,Particular,-,On-Grid,1680 Wp,6 Paneles de 280 Wp - Inyección: 30% a 40%,-,2020,,,Avenida Presidente Figueroa Alcorta,,Ortiz de Ocampo,"FIGUEROA ALCORTA, PRES. AV. y ORTIZ DE OCAMPO, CABA",PALERMO,Comuna 14,2604,1.17,2604,1.17
POINT (-58.5029992545832 -34.5756322966858),88,Privado,Solar Fotovoltaico,Particular,-,On-Grid,12240 Wp,,,2018,,,Larsen,,Zamudio,"LARSEN y ZAMUDIO, CABA",VILLA PUEYRREDON,Comuna 12,18972,8.54,56916,25.61
POINT (-58.4840800057966 -34.6481590239712),89,Privado,Solar Fotovoltaico,Particular,-,On-Grid,5000 Wp,-,-,2019,,,Avenida Olivera,,Remedios,"OLIVERA AV. y REMEDIOS, CABA",PARQUE AVELLANEDA,Comuna 9,7750,3.49,15500,6.98
POINT (-58.4575932243174 -34.577180550611),90,Privado,Solar Fotovoltaico,Particular,-,On-Grid,5000 Wp,-,-,2019,,,Delgado,,Virrey Loreto,"DELGADO y LORETO, VIRREY, CABA",COLEGIALES,Comuna 13,7750,3.49,15500,6.98
