WKT,id_techo,publico_pr,edificio,tipo_cubie,superficie,proyecto,calle,calle_nro,direccion_,barrio,comuna,fecha_inst
"POINT (-58.4205375807588 -34.6008873187478)","18",Privado,Vivienda,Terraza Verde Arriba,"70",Grupo Landscape - Cora Burgin,GUARDIA VIEJA,"4000",GUARDIA VIEJA 4000,Almagro,Comuna 5,"2010"
"POINT (-58.4413169032926 -34.6274453444023)","19",Privado,Vivienda,Terraza Verde Arriba,"40",Grupo Landscape - Cora Burgin,LA NAVE,"1000",LA NAVE 1000,Caballito,Comuna 6,"2011"
"POINT (-58.4244325757491 -34.6061410434503)","20",Privado,Edificio Tempora,Terraza Verde Arriba,"160",GRUPO LANDCAPE - CORA BURGIN,"PERON, JUAN DOMINGO, TTE. GENERAL","4100","PERON, JUAN DOMINGO, TTE. GENERAL 4100",Almagro,Comuna 5,"2012"
"POINT (-58.3774579238551 -34.5926924877664)","21",Privado,Vivienda,Cubierta Verde Extensiva,"80",JANUS,JUNCAL,"721",JUNCAL 721,Retiro,Comuna 1,"2004"
"POINT (-58.492170731994 -34.571124858946)","24",Privado,Vivienda,Extensiva modular,"16",,BUCARELLI,"2977",BUCARELLI 2977,Villa Urquiza,Comuna 12,"2011"
"POINT (-58.4693190161864 -34.563167936031)","25",Privado,Vivienda,Extensiva modular,"30",,CONDE,"2535",CONDE 2535,Coghlan,Comuna 12,"2011"
"POINT (-58.4204960298857 -34.6014196832464)","26",Privado,Vivienda,Extensiva modular,"20",,MEDRANO AV.,"741",MEDRANO AV. 741,Almagro,Comuna 5,"2011"
"POINT (-58.4811066541926 -34.5739685190651)","27",Privado,Vivienda,Extensiva modular,"30",,OLAZABAL AV.,"4646",OLAZABAL AV. 4646,Villa Urquiza,Comuna 12,"2011"
"POINT (-58.4280007331106 -34.6118630659418)","28",Privado,Vivienda,Extensiva modular,"24",,LIBRES,"156",LIBRES 156,Almagro,Comuna 5,"2011"
"POINT (-58.4054933813143 -34.5928003216033)","29",Privado,Vivienda,Extensiva modular,"40",,SANTA FE AV.,"2755",SANTA FE AV. 2755,Recoleta,Comuna 2,"2011"
"POINT (-58.465219697492 -34.5512424248114)","30",Privado,Vivienda,Extensiva modular,"30",,VUELTA DE OBLIGADO,"3248",VUELTA DE OBLIGADO 3248,Nuñez,Comuna 13,"2011"
"POINT (-58.4401461364085 -34.583844953807)","31",Privado,Vivienda,Extensiva modular,"20",,"CARRANZA, ANGEL JUSTINIANO","1522","CARRANZA, ANGEL JUSTINIANO 1522",Palermo,Comuna 14,"2011"
"POINT (-58.4615574834886 -34.5543154729989)","36",Privado,Vivienda,Extensiva modular,"32",,VUELTA DE OBLIGADO,"2841",VUELTA DE OBLIGADO 2841,Nuñez,Comuna 13,"2011"
